Created,9/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,"Hispanic/Latino 
Age 3 to 5 
","American Indian or
Alaska Native 
Age 3 to 5 
","Asian 
Age 3 to 5 
","Black or 
African American
Age 3 to 5 
","Native Hawaiian 
or Other Pacific Islander
Age 3 to 5 
","White
Age 3 to 5 
","Two or more races
Age 3 to 5 
","Age 3-5
 R/E
total ",Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 6 to 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 14 to 21,Age 6 to 21,Age 3 to 21,"Hispanic/Latino
Age 6 to 21
","

American Indian 
or Alaska Native 
Age 6 to 21 
","Asian 
Age 6 to 21 
","Black or 
African American
Age 6 to 21 
","Native Hawaiian 
or Other Pacific Islander
Age 6 to 21
","White
Age 6 to 21
","Two or more races
Age 6 to 21 
","Age 6 to 21
 R/E
total "
2011,Alaska                                                 ,All disabilities                   ,483,716,967,"2,166",162,554,71,76,33,"1,051",219,"2,166","1,060","1,182","1,307","1,415","1,452","1,481","7,897","1,420","1,240","1,210","1,132","1,031",954,"14,884","6,987",580,201,130,94,"1,005","5,332","15,889","18,055","1,051","4,624",511,742,327,"7,290","1,344","15,889"
2011,American Samoa                                         ,Intellectual disabilities             ,0,0,         x,         x,0,0,0,0,         x,         x,         x,         x,0,0,         x,0,         x,0,         x,         x,0,0,         x,         x,         x,         x,5,         x,0,0,0,         x,7,12,         x,0,         x,0,0,12,         x,0,         x
2011,American Samoa                                         ,Hearing impairments                ,         x,         x,         x,         x,         x,0,         x,         x,         x,0,         x,         x,         x,0,0,         x,0,0,         x,0,         x,         x,         x,         x,         x,         x,7,         x,         x,0,0,         x,         x,11,         x,         x,0,0,0,         x,0,         x,         x
2011,American Samoa                                         ,Speech or language impairments     ,         x,         x,40,146,0,0,0,0,146,0,0,146,         x,28,         x,         x,         x,0,         x,0,0,         x,0,0,         x,         x,         x,         x,0,0,0,         x,         x,49,195,0,         x,0,0,         x,0,0,49
2011,American Samoa                                         ,Visual impairments                 ,         x,0,0,         x,         x,0,0,0,         x,0,0,         x,         x,0,0,0,         x,0,         x,0,         x,         x,0,         x,         x,         x,         x,0,0,0,0,0,         x,         x,         x,         x,0,         x,0,         x,         x,         x,         x
2011,American Samoa                                         ,Emotional disturbance              ,         x,0,0,         x,         x,0,         x,0,0,0,0,         x,         x,         x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         x,         x,0,0,0,0,0,0,         x
2011,American Samoa                                         ,Orthopedic impairments             ,0,         x,         x,0,         x,0,         x,0,0,0,0,0,0,         x,0,0,0,         x,         x,0,         x,         x,         x,0,         x,         x,         x,         x,0,0,0,         x,0,0,0,0,0,0,         x,0,0,         x,0
2011,American Samoa                                         ,Other health impairments           ,         x,         x,0,0,         x,0,         x,         x,0,0,0,         x,0,0,0,0,         x,0,         x,0,0,0,0,0,         x,         x,         x,         x,0,         x,0,0,         x,         x,         x,0,0,0,0,         x,0,0,         x
2011,American Samoa                                         ,Specific learning disabilities     ,         x,0,         x,         x,0,0,         x,0,         x,0,0,         x,19,48,56,44,49,49,265,50,64,67,57,65,55,623,358,         x,         x,0,0,11,255,634,         x,0,0,         x,0,633,0,0,         x
2011,American Samoa                                         ,Deaf-blindness                     ,0,0,0,0,         x,0,0,0,0,0,0,         x,0,0,0,0,0,0,0,0,         x,0,0,0,0,         x,         x,0,0,         x,0,         x,         x,         x,         x,0,0,0,0,         x,0,         x,         x
2011,American Samoa                                         ,Multiple disabilities              ,0,         x,         x,9,         x,0,         x,0,9,0,0,9,         x,         x,5,         x,         x,         x,26,         x,         x,         x,         x,         x,         x,43,17,7,         x,         x,         x,12,20,55,64,         x,0,0,0,         x,0,0,55
2011,American Samoa                                         ,Autism                             ,0,0,0,0,         x,0,0,         x,0,         x,         x,         x,         x,         x,0,0,0,0,         x,0,0,0,0,0,0,         x,0,0,0,0,0,0,0,         x,         x,         x,0,0,0,         x,0,0,         x
2011,American Samoa                                         ,Traumatic brain injury             ,0,0,0,0,         x,0,0,0,0,0,0,         x,0,0,         x,         x,0,         x,0,0,0,         x,0,0,0,         x,         x,0,0,0,0,0,         x,         x,         x,         x,0,         x,         x,         x,0,0,         x
2011,American Samoa                                         ,Developmental delay                ,0,0,0,0,0,0,0,0,0,0,0,0,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,         -,0,         -,         -,         -,         -,         -,         -,         -,         -
2011,American Samoa                                         ,All disabilities                   ,35,78,48,161,0,0,0,0,161,0,0,161,34,82,67,53,59,55,350,57,69,75,62,69,61,743,393,20,5,         x,         x,28,295,771,932,0,0,         x,0,         x,0,0,771
2011,Arizona                                                ,Intellectual disabilities             ,0,0,233,233,118,17,8,13,         x,70,         x,233,337,446,469,511,534,586,"2,883",582,578,589,574,604,573,"6,383","3,500",449,247,180,120,996,"3,336","7,379","7,612","3,385",551,136,642,18,"2,572",75,"7,379"
2011,Arizona                                                ,Hearing impairments                ,62,93,78,233,109,19,7,14,         x,80,         x,233,128,123,116,139,128,128,762,135,90,107,106,121,92,"1,413",651,64,9,         x,         x,82,508,"1,495","1,728",702,78,52,83,         x,569,         x,"1,495"
2011,Arizona                                                ,Speech or language impairments     ,"1,286","2,135","2,789","6,210","2,549",295,95,209,16,"2,924",122,"6,210","3,918","4,118","3,443","2,880","2,194","1,330","17,883",769,472,254,120,94,46,"19,638","1,755",24,5,         x,         x,32,546,"19,670","25,880","8,169","1,061",386,843,43,"8,866",302,"19,670"
2011,Arizona                                                ,Visual impairments                 ,59,48,36,143,58,11,         x,6,0,65,         x,143,38,43,56,48,43,42,270,38,41,         x,32,         x,24,462,192,9,         x,         x,0,15,128,477,620,160,42,17,         x,         x,226,         x,477
2011,Arizona                                                ,Emotional disturbance              ,0,0,42,42,         x,         x,         x,5,0,28,         x,42,143,276,376,546,617,703,"2,661",698,761,841,852,825,765,"7,403","4,742",289,95,47,25,456,"3,739","7,859","7,901","2,045",416,55,943,10,"4,229",161,"7,859"
2011,Arizona                                                ,Orthopedic impairments             ,0,0,47,47,14,         x,5,         x,0,24,0,47,60,55,66,67,63,69,380,47,55,50,42,46,44,664,284,23,         x,7,         x,38,220,702,749,262,19,17,33,         x,358,         x,702
2011,Arizona                                                ,Other health impairments           ,0,0,75,75,24,         x,0,         x,0,47,         x,75,174,391,565,724,841,860,"3,555",869,920,869,789,732,651,"8,385","4,830",276,40,18,7,341,"3,382","8,726","8,801","2,356",330,89,647,13,"5,135",156,"8,726"
2011,Arizona                                                ,Specific learning disabilities     ,0,         x,         x,133,64,8,5,6,0,42,8,133,429,"1,385","2,629","3,802","4,778","5,473","18,496","5,669","5,492","5,417","5,251","4,917","4,677","49,919","31,423","2,131",460,185,95,"2,871","23,133","52,790","52,923","25,245","4,380",417,"3,559",78,"18,525",586,"52,790"
2011,Arizona                                                ,Deaf-blindness                     ,5,8,6,19,7,         x,0,         x,0,         x,0,19,         x,11,         x,         x,11,7,54,         x,         x,         x,8,         x,9,98,44,6,         x,         x,         x,11,41,109,128,49,9,         x,         x,0,45,         x,109
2011,Arizona                                                ,Multiple disabilities              ,0,0,81,81,34,7,         x,         x,0,33,0,81,110,115,127,130,164,158,804,173,155,161,153,166,166,"1,778",974,128,79,64,44,315,961,"2,093","2,174",822,187,45,114,         x,898,         x,"2,093"
2011,Arizona                                                ,Autism                             ,0,         x,         x,473,165,20,21,29,         x,222,         x,473,636,722,798,800,746,731,"4,433",650,590,522,480,429,362,"7,466","3,033",181,131,63,35,410,"2,203","7,876","8,349","2,207",227,237,477,16,"4,586",126,"7,876"
2011,Arizona                                                ,Traumatic brain injury             ,0,0,6,6,         x,0,0,         x,0,         x,0,6,         x,13,         x,         x,23,27,108,         x,         x,39,39,23,31,306,198,12,         x,         x,         x,17,149,323,329,118,30,         x,23,         x,146,         x,323
